Make,Model,Year,Price,Mileage,Body Type,Cylinders,Transmission,Fuel Type,Color,Location,Description
mercedes-benz,cls-class,2012,57357,280953,Sedan,8,Automatic Transmission,Gasoline,Black, Dubai,"2012 mercedes-benz cls-class with Bluetooth, Rear camera, Sunroof. Condition: Minor scratches."
nissan,patrol,2006,360078,269976,SUV,8,Automatic Transmission,Gasoline,Grey, Dubai,"2006 nissan patrol with Leather seats, Sunroof, Bluetooth, Adaptive cruise control. Condition: Engine repaired."
nissan,x-trail,2006,49302,121173,Crossover,4,Automatic Transmission,Gasoline,White, Dubai,"2006 nissan x-trail with Sunroof, Rear camera, Adaptive cruise control, Navigation system. Condition: Repainted bumper."
toyota,yaris,2009,32656,254828,Hatchback,4,Automatic Transmission,Gasoline,White, Dubai,"2009 toyota yaris with Adaptive cruise control, Rear camera, Bluetooth, Leather seats. Condition: Engine repaired."
jeep,grand-cherokee,2021,36447,247240,SUV,8,Automatic Transmission,Gasoline,Blue, Sharjah,"2021 jeep grand-cherokee with Leather seats, Adaptive cruise control, Sunroof, Bluetooth. Condition: Minor scratches."
kia,optima,2014,29408,138591,Sedan,5,Automatic Transmission,Gasoline,White,Dubai,"2014 kia optima with Sunroof, Navigation system. Condition: Accident history."
ferrari,599,2024,4197282,220775,Coupe,12,Automatic Transmission,Gasoline,Blue, Dubai,"2024 ferrari 599 with Leather seats, Sunroof, Rear camera, Adaptive cruise control. Condition: Engine repaired."
bmw,x6,2021,342897,292448,SUV,8,Automatic Transmission,Gasoline,Black, Dubai,"2021 bmw x6 with Bluetooth, Leather seats, Rear camera. Condition: Minor scratches."
porsche,cayenne,2024,380035,193415,SUV,6,Automatic Transmission,Gasoline,White, Dubai,"2024 porsche cayenne with Navigation system, Leather seats, Adaptive cruise control. Condition: Minor scratches."
bentley,continental-gt,2008,208965,229097,Coupe,12,Automatic Transmission,Gasoline,Other Color, Dubai,"2008 bentley continental-gt with Leather seats, Navigation system, Adaptive cruise control. Condition: No damage."
land-rover,range-rover,2024,222044,33480,SUV,8,Automatic Transmission,Gasoline,Black, Dubai,"2024 land-rover range-rover with Leather seats, Sunroof. Condition: Engine repaired."
nissan,sunny,2008,28063,294765,Sedan,4,Automatic Transmission,Gasoline,White, Dubai,"2008 nissan sunny with Leather seats, Sunroof. Condition: No damage."
mercedes-benz,gl-class,2018,120721,220931,SUV,8,Automatic Transmission,Gasoline,White, Dubai,"2018 mercedes-benz gl-class with Bluetooth, Rear camera, Navigation system. Condition: Dented door."
nissan,altima,2009,58468,194346,Sedan,4,Automatic Transmission,Gasoline,White, Sharjah,"2009 nissan altima with Rear camera, Leather seats, Bluetooth, Navigation system. Condition: No damage."
toyota,land-cruiser,2011,331226,198407,SUV,6,Automatic Transmission,Gasoline,White, Dubai,"2011 toyota land-cruiser with Leather seats, Adaptive cruise control. Condition: Repainted bumper."
chevrolet,corvette,2015,162913,215495,Hard Top Convertible,8,Manual Transmission,Gasoline,Red, Dubai,"2015 chevrolet corvette with Leather seats, Adaptive cruise control, Rear camera, Sunroof. Condition: Engine repaired."
porsche,panamera,2018,292855,39608,Sedan,6,Automatic Transmission,Gasoline,White, Dubai,"2018 porsche panamera with Rear camera, Bluetooth, Leather seats. Condition: Accident history."
mercedes-benz,g-class,2011,494348,140824,SUV,8,Automatic Transmission,Gasoline,Grey, Dubai,"2011 mercedes-benz g-class with Adaptive cruise control, Rear camera. Condition: Repainted bumper."
mercedes-benz,s-class,2018,436570,199886,Sedan,8,Automatic Transmission,Gasoline,White, Dubai,"2018 mercedes-benz s-class with Bluetooth, Adaptive cruise control, Navigation system. Condition: Engine repaired."
kia,sorento,2018,12803,287736,Sedan,6,Automatic Transmission,Gasoline,Silver, Dubai,"2018 kia sorento with Bluetooth, Adaptive cruise control. Condition: Repainted bumper."
honda,accord,2022,134183,270532,Sedan,4,Automatic Transmission,Gasoline,Blue, Dubai,"2022 honda accord with Adaptive cruise control, Leather seats, Sunroof, Bluetooth. Condition: No damage."
dodge,charger,2022,31252,276604,Sedan,8,Automatic Transmission,Gasoline,Blue, Abu Dhabi,"2022 dodge charger with Bluetooth, Rear camera, Sunroof, Leather seats. Condition: Minor scratches."
rolls-royce,phantom,2006,442922,107637,Sedan,12,Automatic Transmission,Gasoline,White, Dubai,"2006 rolls-royce phantom with Sunroof, Rear camera, Bluetooth. Condition: Dented door."
mercedes-benz,cla,2008,85739,21929,Sedan,4,Automatic Transmission,Gasoline,White, Dubai,"2008 mercedes-benz cla with Rear camera, Navigation system, Sunroof. Condition: No damage."
nissan,altima,2022,35378,106108,Sedan,4,Automatic Transmission,Gasoline,White, Sharjah,"2022 nissan altima with Adaptive cruise control, Sunroof. Condition: Engine repaired."
ford,edge,2018,183374,265019,SUV,6,Automatic Transmission,Gasoline,White, Dubai,"2018 ford edge with Navigation system, Adaptive cruise control. Condition: No damage."
nissan,patrol,2017,139466,152744,SUV,6,Manual Transmission,Gasoline,White, Dubai,"2017 nissan patrol with Sunroof, Navigation system. Condition: Minor scratches."
bmw,6-series,2015,50460,146659,Sedan,6,Automatic Transmission,Gasoline,Black, Dubai,"2015 bmw 6-series with Bluetooth, Rear camera. Condition: Dented door."
hyundai,kona,2020,49724,112352,SUV,4,Automatic Transmission,Gasoline,Red, Dubai,"2020 hyundai kona with Bluetooth, Leather seats, Rear camera, Navigation system. Condition: Minor scratches."
mercedes-benz,s-class,2006,49519,241390,Sedan,8,Automatic Transmission,Gasoline,White, Dubai,"2006 mercedes-benz s-class with Rear camera, Adaptive cruise control. Condition: Repainted bumper."
lamborghini,urus,2021,1568997,28162,Crossover,Unknown,Automatic Transmission,Gasoline,Red, Dubai,"2021 lamborghini urus with Rear camera, Leather seats, Adaptive cruise control. Condition: Dented door."
porsche,cayenne,2019,74335,278497,SUV,6,Automatic Transmission,Gasoline,Silver, Abu Dhabi,"2019 porsche cayenne with Navigation system, Rear camera. Condition: Repainted bumper."
mitsubishi,pajero,2013,40762,10587,SUV,6,Automatic Transmission,Gasoline,Silver, Dubai,"2013 mitsubishi pajero with Rear camera, Sunroof. Condition: No damage."
dodge,challenger,2023,130555,69833,Coupe,8,Automatic Transmission,Gasoline,Grey, Dubai,"2023 dodge challenger with Navigation system, Adaptive cruise control, Bluetooth, Rear camera. Condition: Engine repaired."
mercedes-benz,c-class,2014,120941,184492,Sedan,4,Automatic Transmission,Gasoline,Blue, Sharjah,"2014 mercedes-benz c-class with Navigation system, Bluetooth, Leather seats, Sunroof. Condition: Dented door."
porsche,cayenne,2014,68719,253848,SUV,8,Automatic Transmission,Gasoline,Black, Dubai,"2014 porsche cayenne with Adaptive cruise control, Rear camera. Condition: Engine repaired."
chevrolet,silverado,2009,159025,173619,Pick Up Truck,8,Automatic Transmission,Gasoline,Black, Dubai,"2009 chevrolet silverado with Navigation system, Leather seats. Condition: No damage."
porsche,cayenne,2008,1055578,169934,SUV,8,Automatic Transmission,Gasoline,Grey, Dubai,"2008 porsche cayenne with Sunroof, Leather seats, Adaptive cruise control, Rear camera. Condition: Accident history."
mini,cooper,2011,85706,225344,Coupe,4,Automatic Transmission,Gasoline,Red, Dubai,"2011 mini cooper with Bluetooth, Rear camera. Condition: Engine repaired."
mercedes-benz,g-class,2007,1164907,168941,SUV,8,Automatic Transmission,Gasoline,Black, Dubai,"2007 mercedes-benz g-class with Leather seats, Sunroof. Condition: Engine repaired."
nissan,patrol,2011,129092,272655,SUV,6,Automatic Transmission,Gasoline,Black, Sharjah,"2011 nissan patrol with Sunroof, Navigation system, Rear camera, Leather seats. Condition: Dented door."
aston-martin,rapide,2011,302938,264405,Sedan,12,Automatic Transmission,Gasoline,White, Dubai,"2011 aston-martin rapide with Leather seats, Navigation system. Condition: Minor scratches."
ford,f-series-pickup,2010,289114,70881,Pick Up Truck,6,Automatic Transmission,Hybrid,Black, Dubai,"2010 ford f-series-pickup with Rear camera, Bluetooth, Leather seats. Condition: No damage."
gmc,yukon,2013,303404,81085,SUV,8,Automatic Transmission,Gasoline,Black, Dubai,"2013 gmc yukon with Navigation system, Bluetooth, Adaptive cruise control, Sunroof. Condition: Engine repaired."
chevrolet,corvette,2018,448226,140105,Coupe,8,Automatic Transmission,Gasoline,Red, Abu Dhabi,"2018 chevrolet corvette with Navigation system, Sunroof, Bluetooth, Adaptive cruise control. Condition: Engine repaired."
renault,duster,2021,39249,232139,SUV,4,Automatic Transmission,Gasoline,Blue, Abu Dhabi,"2021 renault duster with Adaptive cruise control, Navigation system, Sunroof. Condition: Repainted bumper."
volkswagen,tiguan,2012,26449,90347,SUV,4,Automatic Transmission,Gasoline,White, Dubai,"2012 volkswagen tiguan with Navigation system, Adaptive cruise control, Bluetooth, Sunroof. Condition: Dented door."
chevrolet,camaro,2008,101280,296942,Coupe,6,Automatic Transmission,Gasoline,Red, Dubai,"2008 chevrolet camaro with Bluetooth, Sunroof, Leather seats. Condition: No damage."
kia,sportage,2009,27993,128406,SUV,4,Automatic Transmission,Gasoline,Grey, Sharjah,"2009 kia sportage with Adaptive cruise control, Rear camera, Sunroof, Navigation system. Condition: Engine repaired."
porsche,cayenne,2023,26689,144687,SUV,8,Automatic Transmission,Gasoline,White, Dubai,"2023 porsche cayenne with Rear camera, Navigation system. Condition: Accident history."
lexus,lx-series,2023,22063,117781,SUV,8,Automatic Transmission,Gasoline,Grey, Dubai,"2023 lexus lx-series with Adaptive cruise control, Leather seats, Rear camera, Sunroof. Condition: Engine repaired."
toyota,hilux,2008,92960,197399,Pick Up Truck,4,Automatic Transmission,Gasoline,White, Dubai,"2008 toyota hilux with Sunroof, Adaptive cruise control, Navigation system. Condition: Engine repaired."
nissan,altima,2014,50305,245288,Other,4,Automatic Transmission,Gasoline,Silver, Dubai,"2014 nissan altima with Navigation system, Adaptive cruise control. Condition: Engine repaired."
land-rover,range-rover,2010,147413,51135,SUV,8,Automatic Transmission,Gasoline,Grey, Dubai,"2010 land-rover range-rover with Bluetooth, Rear camera. Condition: Repainted bumper."
mercedes-benz,s-class,2017,41108,299068,Sedan,8,Automatic Transmission,Gasoline,Blue, Dubai,"2017 mercedes-benz s-class with Adaptive cruise control, Bluetooth. Condition: No damage."
suzuki,kizashi,2008,26485,256337,Sedan,4,Automatic Transmission,Gasoline,Silver, Dubai,"2008 suzuki kizashi with Leather seats, Navigation system, Bluetooth. Condition: Minor scratches."
toyota,prado,2010,121251,218125,SUV,6,Automatic Transmission,Gasoline,White, Sharjah,"2010 toyota prado with Sunroof, Bluetooth, Leather seats, Rear camera. Condition: Dented door."
lincoln,navigator,2024,1186097,185898,SUV,6,Automatic Transmission,Gasoline,Black, Dubai,"2024 lincoln navigator with Rear camera, Navigation system, Adaptive cruise control, Sunroof. Condition: Repainted bumper."
hyundai,azera,2022,72404,190530,Sedan,4,Automatic Transmission,Gasoline,Silver, Dubai,"2022 hyundai azera with Bluetooth, Sunroof. Condition: Repainted bumper."
mercedes-benz,e-class,2006,273876,137443,Coupe,6,Automatic Transmission,Gasoline,Black, Sharjah,"2006 mercedes-benz e-class with Sunroof, Rear camera, Navigation system, Bluetooth. Condition: Repainted bumper."
bmw,x6,2008,211781,152869,SUV,8,Automatic Transmission,Gasoline,White, Dubai,"2008 bmw x6 with Rear camera, Sunroof, Navigation system, Leather seats. Condition: Accident history."
toyota,prado,2024,165581,211218,SUV,6,Automatic Transmission,Gasoline,White, Dubai,"2024 toyota prado with Bluetooth, Adaptive cruise control, Leather seats, Navigation system. Condition: No damage."
audi,q8,2010,856148,246373,Hatchback,8,Automatic Transmission,Gasoline,Grey, Dubai,"2010 audi q8 with Navigation system, Rear camera, Sunroof. Condition: Dented door."
nissan,sunny,2009,18732,38653,Sedan,4,Automatic Transmission,Gasoline,White, Dubai,"2009 nissan sunny with Adaptive cruise control, Sunroof, Leather seats, Navigation system. Condition: Repainted bumper."
bentley,bentayga,2006,639348,217852,SUV,12,Automatic Transmission,Gasoline,White, Dubai,"2006 bentley bentayga with Navigation system, Rear camera. Condition: Minor scratches."
land-rover,range-rover,2019,162663,186547,SUV,4,Automatic Transmission,Gasoline,White, Dubai,"2019 land-rover range-rover with Sunroof, Navigation system, Rear camera, Bluetooth. Condition: Accident history."
mercedes-benz,s-class-coupe,2012,354906,110402,Coupe,8,Automatic Transmission,Gasoline,Grey, Dubai,"2012 mercedes-benz s-class-coupe with Leather seats, Adaptive cruise control. Condition: Engine repaired."
maybach,other,2014,1683182,176768,Sedan,12,Automatic Transmission,Gasoline,Other Color, Dubai,"2014 maybach other with Navigation system, Leather seats, Adaptive cruise control, Rear camera. Condition: Dented door."
jeep,grand-cherokee,2013,211822,70843,SUV,6,Automatic Transmission,Gasoline,White, Dubai,"2013 jeep grand-cherokee with Rear camera, Bluetooth, Navigation system. Condition: Repainted bumper."
mercedes-benz,gls-class,2022,1156447,94130,SUV,8,Automatic Transmission,Gasoline,Black, Dubai,"2022 mercedes-benz gls-class with Rear camera, Sunroof, Adaptive cruise control, Navigation system. Condition: Dented door."
toyota,land-cruiser-76-series,2011,134242,69330,SUV,6,Manual Transmission,Gasoline,Beige, Abu Dhabi,"2011 toyota land-cruiser-76-series with Bluetooth, Navigation system, Sunroof, Rear camera. Condition: Minor scratches."
mercedes-benz,gle-coupe,2021,556885,222948,SUV,6,Automatic Transmission,Gasoline,White, Dubai,"2021 mercedes-benz gle-coupe with Rear camera, Adaptive cruise control, Leather seats, Navigation system. Condition: Accident history."
hyundai,sonata,2014,61585,194809,Sedan,4,Automatic Transmission,Gasoline,Grey, Dubai,"2014 hyundai sonata with Adaptive cruise control, Leather seats, Sunroof. Condition: Engine repaired."
ford,bronco,2006,265251,112398,SUV,6,Automatic Transmission,Gasoline,Black, Dubai,"2006 ford bronco with Adaptive cruise control, Rear camera, Navigation system, Bluetooth. Condition: Engine repaired."
peugeot,expert,2009,31223,72164,Utility Truck,4,Automatic Transmission,Diesel,White, Dubai,"2009 peugeot expert with Adaptive cruise control, Sunroof, Leather seats, Navigation system. Condition: No damage."
gmc,yukon,2022,233453,76257,SUV,8,Automatic Transmission,Gasoline,Black, Dubai,"2022 gmc yukon with Leather seats, Adaptive cruise control, Sunroof, Navigation system. Condition: Minor scratches."
toyota,hilux,2021,151613,113155,Pick Up Truck,4,Manual Transmission,Diesel,Grey, Dubai,"2021 toyota hilux with Leather seats, Navigation system, Adaptive cruise control. Condition: No damage."
bmw,7-series,2006,316052,156772,Sedan,4,Automatic Transmission,Gasoline,Grey, Dubai,"2006 bmw 7-series with Adaptive cruise control, Bluetooth, Leather seats, Rear camera. Condition: Dented door."
jaguar,e-pace,2017,144665,274227,SUV,4,Automatic Transmission,Gasoline,White, Dubai,"2017 jaguar e-pace with Bluetooth, Adaptive cruise control, Navigation system, Leather seats. Condition: Repainted bumper."
audi,tt,2016,44472,273308,Coupe,4,Automatic Transmission,Gasoline,White, Dubai,"2016 audi tt with Bluetooth, Navigation system, Leather seats. Condition: No damage."
land-rover,range-rover,2024,168761,80757,SUV,8,Automatic Transmission,Gasoline,Black, Dubai,"2024 land-rover range-rover with Sunroof, Bluetooth. Condition: No damage."
honda,cr-v,2013,46524,84969,SUV,4,Automatic Transmission,Gasoline,Gold, Abu Dhabi,"2013 honda cr-v with Sunroof, Adaptive cruise control, Navigation system, Bluetooth. Condition: No damage."
jaguar,xf,2019,78046,234589,Sedan,4,Automatic Transmission,Gasoline,Black, Dubai,"2019 jaguar xf with Navigation system, Sunroof, Rear camera. Condition: No damage."
lexus,lx-series,2012,85379,233659,SUV,8,Automatic Transmission,Gasoline,Silver, Sharjah,"2012 lexus lx-series with Sunroof, Leather seats. Condition: Accident history."
audi,q7,2022,28401,165386,SUV,8,Automatic Transmission,Gasoline,Black, Dubai,"2022 audi q7 with Adaptive cruise control, Bluetooth. Condition: Repainted bumper."
mercedes-benz,s-class,2020,717340,67821,Sedan,6,Automatic Transmission,Gasoline,White, Dubai,"2020 mercedes-benz s-class with Navigation system, Rear camera. Condition: Repainted bumper."
lexus,ls-series,2016,23376,175678,Sedan,8,Automatic Transmission,Gasoline,Black, Sharjah,"2016 lexus ls-series with Sunroof, Bluetooth. Condition: Dented door."
audi,a3,2017,69722,75665,Sedan,4,Automatic Transmission,Gasoline,Red, Dubai,"2017 audi a3 with Leather seats, Bluetooth. Condition: No damage."
honda,accord,2022,47497,126540,Sedan,4,Automatic Transmission,Gasoline,Red, Dubai,"2022 honda accord with Bluetooth, Adaptive cruise control, Leather seats. Condition: Engine repaired."
citroen,c5,2024,112539,280276,SUV,4,Automatic Transmission,Gasoline,White, Dubai,"2024 citroen c5 with Adaptive cruise control, Navigation system. Condition: Engine repaired."
bmw,x5,2007,128256,256471,SUV,6,Automatic Transmission,Gasoline,Blue, Dubai,"2007 bmw x5 with Bluetooth, Leather seats, Rear camera, Navigation system. Condition: No damage."
cadillac,ctscatera,2011,94590,150903,Sedan,6,Automatic Transmission,Gasoline,White, Dubai,"2011 cadillac ctscatera with Rear camera, Navigation system, Adaptive cruise control, Bluetooth. Condition: Engine repaired."
infiniti,qx70,2017,65084,232545,SUV,6,Automatic Transmission,Gasoline,Grey, Dubai,"2017 infiniti qx70 with Navigation system, Sunroof, Leather seats, Rear camera. Condition: Dented door."
cadillac,escalade,2010,569875,296315,SUV,8,Automatic Transmission,Gasoline,Black, Dubai,"2010 cadillac escalade with Adaptive cruise control, Bluetooth. Condition: Dented door."
nissan,patrol,2006,68580,50462,SUV,8,Automatic Transmission,Gasoline,Gold, Dubai,"2006 nissan patrol with Navigation system, Adaptive cruise control, Leather seats. Condition: No damage."
land-rover,range-rover,2020,460904,29781,SUV,8,Automatic Transmission,Gasoline,White, Ajman,"2020 land-rover range-rover with Adaptive cruise control, Navigation system, Sunroof. Condition: No damage."
bmw,5-series,2023,66361,258890,Sedan,4,Automatic Transmission,Gasoline,Blue, Dubai,"2023 bmw 5-series with Leather seats, Sunroof, Rear camera. Condition: No damage."
porsche,boxster,2021,225017,181546,Soft Top Convertible,4,Automatic Transmission,Gasoline,White,Abu Dhabi,"2021 porsche boxster with Bluetooth, Adaptive cruise control, Rear camera. Condition: Dented door."
maserati,ghibli,2018,271423,218348,Sedan,6,Automatic Transmission,Gasoline,Black, Dubai,"2018 maserati ghibli with Adaptive cruise control, Sunroof. Condition: Minor scratches."
cadillac,escalade,2008,473426,278862,SUV,8,Automatic Transmission,Gasoline,Black, Dubai,"2008 cadillac escalade with Bluetooth, Navigation system, Adaptive cruise control. Condition: Accident history."
chevrolet,camaro,2013,83164,86886,Sports Car,6,Automatic Transmission,Gasoline,Grey, Dubai,"2013 chevrolet camaro with Adaptive cruise control, Bluetooth, Rear camera. Condition: Accident history."
lexus,lx600,2010,785350,112823,SUV,8,Automatic Transmission,Gasoline,White, Dubai,"2010 lexus lx600 with Sunroof, Rear camera, Adaptive cruise control. Condition: Minor scratches."
land-rover,discovery-sport,2012,93184,217507,SUV,4,Automatic Transmission,Gasoline,White, Dubai,"2012 land-rover discovery-sport with Navigation system, Leather seats, Bluetooth, Sunroof. Condition: Engine repaired."
porsche,cayenne,2016,103167,122972,Sports Car,8,Automatic Transmission,Gasoline,White, Abu Dhabi,"2016 porsche cayenne with Sunroof, Leather seats, Navigation system. Condition: Dented door."
chevrolet,silverado,2022,125793,254824,SUV,8,Automatic Transmission,Gasoline,White, Sharjah,"2022 chevrolet silverado with Navigation system, Sunroof, Rear camera. Condition: Repainted bumper."
infiniti,qx56,2007,18535,42670,SUV,8,Automatic Transmission,Gasoline,Silver, Sharjah,"2007 infiniti qx56 with Navigation system, Adaptive cruise control. Condition: Accident history."
lexus,lx-series,2006,95978,121781,SUV,8,Automatic Transmission,Gasoline,Black, Sharjah,"2006 lexus lx-series with Rear camera, Navigation system, Bluetooth. Condition: Dented door."
jeep,grand-cherokee,2022,59471,127314,SUV,6,Automatic Transmission,Gasoline,Red,Dubai,"2022 jeep grand-cherokee with Adaptive cruise control, Sunroof. Condition: Repainted bumper."
tesla,model-3,2015,261989,283297,Sedan,,Automatic Transmission,Electric,White, Dubai,"2015 tesla model-3 with Adaptive cruise control, Bluetooth. Condition: No damage."
mercedes-benz,c-class,2014,109480,254602,Hard Top Convertible,4,Automatic Transmission,Gasoline,White, Dubai,"2014 mercedes-benz c-class with Bluetooth, Leather seats, Sunroof, Adaptive cruise control. Condition: Accident history."
cadillac,escalade,2011,448228,179069,SUV,8,Automatic Transmission,Gasoline,Black, Dubai,"2011 cadillac escalade with Adaptive cruise control, Leather seats, Bluetooth, Sunroof. Condition: Dented door."
jeep,grand-cherokee,2006,183459,219043,SUV,6,Automatic Transmission,Gasoline,Grey, Dubai,"2006 jeep grand-cherokee with Sunroof, Navigation system. Condition: Minor scratches."
hyundai,tucson,2014,55190,277724,SUV,4,Automatic Transmission,Gasoline,White, Dubai,"2014 hyundai tucson with Leather seats, Adaptive cruise control, Sunroof, Bluetooth. Condition: Dented door."
ford,focus,2007,29030,208124,Sedan,4,Automatic Transmission,Gasoline,White, Dubai,"2007 ford focus with Bluetooth, Leather seats, Adaptive cruise control, Sunroof. Condition: Accident history."
nissan,patrol,2010,132986,199988,SUV,8,Automatic Transmission,Gasoline,White, Dubai,"2010 nissan patrol with Rear camera, Navigation system, Leather seats. Condition: Accident history."
bmw,x5,2009,78427,254351,SUV,8,Automatic Transmission,Gasoline,White, Dubai,"2009 bmw x5 with Sunroof, Navigation system. Condition: Dented door."
ford,edge,2010,39454,231942,SUV,6,Automatic Transmission,Gasoline,Brown, Abu Dhabi,"2010 ford edge with Rear camera, Sunroof, Adaptive cruise control. Condition: Minor scratches."
audi,q8,2017,237019,10346,SUV,6,Automatic Transmission,Gasoline,Black, Dubai,"2017 audi q8 with Leather seats, Adaptive cruise control. Condition: Engine repaired."
land-rover,range-rover,2010,529636,262297,SUV,6,Automatic Transmission,Gasoline,White, Dubai,"2010 land-rover range-rover with Leather seats, Adaptive cruise control, Sunroof. Condition: Minor scratches."
mercedes-benz,g-class,2013,483781,262575,SUV,8,Automatic Transmission,Gasoline,Burgundy, Dubai,"2013 mercedes-benz g-class with Bluetooth, Rear camera, Sunroof. Condition: Engine repaired."
mercedes-benz,gle-coupe,2022,670012,297489,SUV,6,Automatic Transmission,Gasoline,White, Dubai,"2022 mercedes-benz gle-coupe with Navigation system, Leather seats, Adaptive cruise control. Condition: Accident history."
nissan,altima,2009,28942,64638,Sedan,4,Automatic Transmission,Gasoline,Black, Dubai,"2009 nissan altima with Adaptive cruise control, Rear camera, Navigation system. Condition: No damage."
ferrari,458-italia,2018,672227,62271,Coupe,8,Automatic Transmission,Gasoline,Red, Dubai,"2018 ferrari 458-italia with Sunroof, Navigation system, Rear camera. Condition: Dented door."
volvo,xc90,2011,17361,171555,SUV,8,Automatic Transmission,Gasoline,Silver, Dubai,"2011 volvo xc90 with Sunroof, Adaptive cruise control, Leather seats, Bluetooth. Condition: Engine repaired."
nissan,patrol,2024,134991,265092,SUV,8,Automatic Transmission,Gasoline,White, Abu Dhabi,"2024 nissan patrol with Leather seats, Bluetooth, Navigation system. Condition: Repainted bumper."
rolls-royce,wraith,2023,884378,86067,Coupe,12,Automatic Transmission,Gasoline,Black, Dubai,"2023 rolls-royce wraith with Sunroof, Adaptive cruise control, Navigation system. Condition: Dented door."
porsche,carrera,2022,212781,224288,Sports Car,6,Automatic Transmission,Gasoline,White, Dubai,"2022 porsche carrera with Bluetooth, Navigation system. Condition: Minor scratches."
mercedes-benz,c-class,2014,152164,191291,Sedan,8,Automatic Transmission,Gasoline,Black, Sharjah,"2014 mercedes-benz c-class with Sunroof, Navigation system, Adaptive cruise control. Condition: Repainted bumper."
toyota,avanza,2021,31144,130536,Van,4,Automatic Transmission,Gasoline,White, Dubai,"2021 toyota avanza with Sunroof, Adaptive cruise control, Bluetooth, Leather seats. Condition: Minor scratches."
land-rover,range-rover,2024,362830,272263,SUV,8,Automatic Transmission,Gasoline,Silver, Dubai,"2024 land-rover range-rover with Rear camera, Navigation system, Adaptive cruise control, Bluetooth. Condition: Accident history."
audi,q5,2023,189574,15562,SUV,6,Automatic Transmission,Gasoline,Blue, Dubai,"2023 audi q5 with Rear camera, Bluetooth, Leather seats. Condition: Minor scratches."
bmw,5-series,2007,68207,227510,Sedan,4,Automatic Transmission,Gasoline,Brown, Dubai,"2007 bmw 5-series with Navigation system, Rear camera. Condition: Dented door."
nissan,patrol,2012,212667,150220,SUV,8,Automatic Transmission,Gasoline,Beige, Dubai,"2012 nissan patrol with Adaptive cruise control, Navigation system. Condition: Repainted bumper."
land-rover,lr3,2012,23344,52952,SUV,8,Automatic Transmission,Gasoline,Black, Dubai,"2012 land-rover lr3 with Bluetooth, Rear camera, Sunroof, Leather seats. Condition: Dented door."
mazda,3,2015,16635,218418,Sedan,4,Automatic Transmission,Gasoline,Silver, Dubai,"2015 mazda 3 with Adaptive cruise control, Sunroof, Leather seats. Condition: No damage."
toyota,land-cruiser,2013,136446,282843,SUV,6,Automatic Transmission,Gasoline,White,Ajman,"2013 toyota land-cruiser with Bluetooth, Sunroof, Leather seats. Condition: Engine repaired."
